name,x_coordinate,y_coordinate,xy_type,uprn,statusdetail,status,sizecategory,primarytechnology
Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm,390213,840362,From Data Source,,Operational,Actual,Large (1MW+),Wind
Clyde Wind Farm Extension (Clyde 2),302328,624463,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Quixwood Moor,378028,663859,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
"MARRIOTT EDINBURGH, WHITBREAD HOTEL COMPANY LIMITED",318139,672673,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Auchadaduie Wind Farm,169193,633969,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Dalquhandy Windfarm,214836,591232,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Creggan Wind Farm,166521,636785,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Camilty Wind Farm,305615,659320,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Inverclyde Wind Farm,229563,672854,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Linfairn Wind Farm,238205,602124,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Millenderdale Wind Farm,217151,590576,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Pearie Law Wind Farm,302205,659690,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
RAMADA JARVIS LIVINGSTON,306020,666929,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
GREENGAIRS EAST WIND FARM,280551,669203,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Crystal Rig Wind Farm Phase III,366700,670500,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Drumduff,288877,669339,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Rhodders Wind Farm,289525,702720,From Data Source,,Operational,Actual,Large (1MW+),Wind
Harburnhead Wind Farm,304070,658330,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Longburn Wind Farm,269700,593285,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
CROWNE PLAZA - GLASGOW,256779,665324,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Whitelee Windfarm Extension Phase 3,256300,645000,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Millour Hill Community Windfarm (Extension) resubmission,225498,652662,From Data Source,,Operational,Actual,Large (1MW+),Wind
Blantyre Muir Wind Farm extension,268888,651781,From Data Source,,Operational,Actual,Large (1MW+),Wind
Dorenell Wind Farm (Previously Site A and B Scaut Hill),332000,829500,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Earlsburn North (Kingsburn) Wind Farm,268000,690500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Aultmore Wind Farm -resubmission,345000,860000,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Black Law Extension - 1a,289500,653500,From Data Source,,Operational,Actual,Large (1MW+),Wind
Stranoch Wind Farm,215493,571022,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Glengarioch Distillery,380778,827577,From Data Source,,Potential,Potential,Unknown,Cooling Towers
DUNDEE UNIVERSITY - MAIN CHP BOILERHOUSE,339727,730031,Postcode Centroid,,,Potential,Large (1MW+),Trigeneration
Berry Burn,311550,840550,From Data Source,,Operational,Actual,Large (1MW+),Wind
Afton Wind Farm,262100,604100,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Tormywheel,295290,658102,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Braemore,255325,900934,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Nanclach Wind Farm,286470,834480,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Dersalloch,242150,603950,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Blairadam Wind Farm,309104,694542,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Point Wind / Beinn Ghrideag Farm,155762,935887,From Data Source,,Operational,Actual,Large (1MW+),Wind
Tangy Wind Farm - repowering,168500,628500,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
THISTLE HOTEL - GLASGOW,258736,665968,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Muirhall South,299342,652838,From Data Source,,Operational,Actual,Large (1MW+),Wind
Sanquhar Community Windfarm 2,266103,604141,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Lochend  Wind Farm,326691,968145,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Creag Riabhach Wind Farm,252589,928364,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
KELLAS WIND FARM,316592,853931,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Meikle Hill wind farm,315105,850668,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
West Benhar wind farm,289560,661750,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
GEORGE SQUARE ENERGY CENTRE,325755,673014,Postcode Centroid,,,Potential,Large (1MW+),Trigeneration
Sorbie Farm,224637,644638,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Srondoire Community Wind Farm,182700,676700,From Data Source,,Operational,Actual,Large (1MW+),Wind
Achlachan Wind Farm,315200,952100,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
A'Chruach (Phase 1),194500,700500,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
"Aikengall II, Wester Dod Community Wind Farm",369468,669455,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
INVERNESS LEISURE,265693,843635,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
Auchrobert Wind Farm,275154,638500,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Birneyknowe Wind Farm,354811,611560,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
