name,x_coordinate,y_coordinate,xy_type,uprn,statusdetail,status,sizecategory,primarytechnology
Solar thermal,281003,634655,From Data Source,,Operating,Actual,Micro (<=45kW),Solar Thermal
Out of the Blue Drill Hall,326819,675243,From Data Source,,Operating,Actual,Micro (<=45kW),Solar Thermal
Tiree,99493,744149,From Data Source,,Operating,Actual,Micro (<=45kW),Solar Thermal
Kaimes Landfill Site,312800,666500,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Greengairs Landfill Scheme Phase VI,278500,669700,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Auchencarroch Landfill,242100,681100,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Greenoakhill,266600,662700,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Garlaff Landfill,254300,617500,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Tarbothill Landfill Site,395600,813500,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Greengairs Landfill Scheme Phase III,278500,669700,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Greengairs Landfill Scheme Phase IV,278500,669700,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Greengairs Landfill Scheme Phase I,278500,659700,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Greengairs Landfill Scheme Phase II,278500,669700,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Lower Melville Wood,330000,711700,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Binn Landfill,317600,713900,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Auchinlea Landfill Site,281000,659000,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
South Cathkin Landfill Site,262500,657500,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Summerston Landfill,258000,671700,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Dunlop Landfill Gas Scheme,244600,651500,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Bonnyrigg,329700,666500,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Greengairs Landfill Scheme Phase V,278500,669700,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Lochhead Landfill Scheme,348536,750898,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Auchencarroch Landfill Extension,242150,681150,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Stoneyhill Landfill Site,407756.7,840971.9,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Dunbar Power Plant,371365,675845,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Dunbar,371600,675600,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Drummond Moor Landfill,332700,665980,From Data Source,,Operational,Actual,Large (1MW+),Landfill Gas
Baldovie,344500,733100,From Data Source,,Operational,Actual,Large (1MW+),Energy from Waste
Binn Eco Park,317233,713295,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Energy from Waste
Polmadie,259509,662366,From Data Source,,Under Construction,Actual,Large (1MW+),Energy from Waste
Green Hills,277564,667080,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Energy from Waste
Pond Green Energy Park,296452,667203,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Energy from Waste
Shewalton (Irvine Plant),234665,639169,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Energy from Waste
Low energy house - GSHP,264635,653235,From Data Source,,Operating,Actual,Micro (<=45kW),Ground Source Heat Pump
Dunbar EfW (previously Oxwellmains EfW),371051,675563,From Data Source,,Under Construction,Actual,Large (1MW+),Energy from Waste
Coatbridge Material Recovery and Renewable Energy Facility,274352,662620,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Energy from Waste
,392981,806150,From Data Source,9051047116,Potential,Potential,Unknown,Cooling Towers
South Clyde Energy Centre,252615,665698,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Energy from Waste
Cairnhill Farm solar park,377824,852312,From Data Source,,Operational,Actual,Large (1MW+),Photovoltaic
Mackies Dairy PV,376700,832011,From Data Source,,Operational,Actual,Large (1MW+),Photovoltaic
Ballochy Solar Farm,366850,762000,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Errol Estate,321208,720222,From Data Source,,Under Construction,Actual,Large (1MW+),Photovoltaic
Dunbar Energy Park,368814,677402,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Solar thermal and ASHPs,273398,660232,From Data Source,,Operating,Actual,Micro (<=45kW),Air Source Heat Pump
Solar thermal and ASHPs,273398,660232,From Data Source,,Operating,Actual,Micro (<=45kW),Solar Thermal
East Culkae Farm,242998,546343,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Tealing Airfield PV,340350,736850,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Photovoltaic
Fall of Warness Tidal Demonstrator (EMEC),354000,1028400,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Tidal Stream
"The Fall of Warness Tidal Scheme, (EMEC)",354000,1028400,From Data Source,,Operational,Actual,Large (1MW+),Tidal Stream
Sound of Islay,143843,667672,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Tidal Stream
North Shore Road,281050,677920,From Data Source,136053276,Potential,Potential,Unknown,Cooling Towers
Lochlands Industrial Estate,285691,681722,From Data Source,136002807,Potential,Potential,Unknown,Cooling Towers
Abbots Road,288679,680591,From Data Source,136019448,Potential,Potential,Unknown,Cooling Towers
Earls Road,291678,681406,From Data Source,136067649,Potential,Potential,Unknown,Cooling Towers
Earls Road,291678,681406,From Data Source,136067649,Potential,Potential,Unknown,Cooling Towers
Earls Road,291678,681406,From Data Source,136067649,Potential,Potential,Unknown,Cooling Towers
Wholeflats Road,293793,680227,From Data Source,136086917,Potential,Potential,Unknown,Cooling Towers
Hammerfest (EMEC),314195,1009356,From Data Source,,Operational,Actual,Large (1MW+),Tidal Stream
Wholeflats Road,293793,680227,From Data Source,136086917,Potential,Potential,Unknown,Cooling Towers
Bo'ness Road,295778,680078,From Data Source,136083662,Potential,Potential,Unknown,Cooling Towers
The Heatherfield,296462,677304,From Data Source,136055175,Potential,Potential,Unknown,Cooling Towers
Links Road,300503,681518,From Data Source,136070896,Potential,Potential,Unknown,Cooling Towers
Carriden Industrial Estate,301966,681426,From Data Source,136061840,Potential,Potential,Unknown,Cooling Towers
The Paragon Works,315738,690678,From Data Source,320149323,Potential,Potential,Unknown,Cooling Towers
Whitehill,324809,699396,From Data Source,320295367,Potential,Potential,Unknown,Cooling Towers
Viewfield Road,325636,699602,From Data Source,320270480,Potential,Potential,Unknown,Cooling Towers
Faraday Road,325949,699339,From Data Source,320304605,Potential,Potential,Unknown,Cooling Towers
Faraday Road,325949,699339,From Data Source,320304605,Potential,Potential,Unknown,Cooling Towers
Mull of Kintyre,157228,603340,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Tidal Stream
Viewfield Industrial Estate,326600,699817,From Data Source,320180171,Potential,Potential,Unknown,Cooling Towers
Viewfield Industrial Estate,326785,699664,From Data Source,320193056,Potential,Potential,Unknown,Cooling Towers
Markinch,327825,701641,From Data Source,320180248,Potential,Potential,Unknown,Cooling Towers
Eastfield Industrial Estate,328968,699859,From Data Source,320180402,Potential,Potential,Unknown,Cooling Towers
Eastfield Industrial Estate,329018,699820,From Data Source,320288249,Potential,Potential,Unknown,Cooling Towers
Rosslyn Street,329219,695686,From Data Source,320179573,Potential,Potential,Unknown,Cooling Towers
Orkie Farm,331891,708280,From Data Source,320083530,Potential,Potential,Unknown,Cooling Towers
Cameron Road,334418,700171,From Data Source,,Potential,Potential,Unknown,Cooling Towers
Banbeath Industrial Estate,336208,701183,From Data Source,,Potential,Potential,Unknown,Cooling Towers
Prestonhall Industrial Estate,339213,715007,From Data Source,320225772,Potential,Potential,Unknown,Cooling Towers
West Islay Tidal Array,116500,652500,From Data Source,,Application Submitted,Potential,Large (1MW+),Tidal Stream
Tayport Works,342445,728479,From Data Source,320176656,Potential,Potential,Unknown,Cooling Towers
Crookston Road,252073,663410,From Data Source,906700367501,Potential,Potential,Unknown,Cooling Towers
South Street,252762,667413,From Data Source,906700095965,Potential,Potential,Unknown,Cooling Towers
Fiftypitches Place,253114,664999,From Data Source,906700160545,Potential,Potential,Unknown,Cooling Towers
Bogmoor Road,253136,666037,From Data Source,906700350615,Potential,Potential,Unknown,Cooling Towers
Renfrew Road,253292,666318,From Data Source,906700391771,Potential,Potential,Unknown,Cooling Towers
Barfillan Drive,254142,664433,From Data Source,906700130081,Potential,Potential,Unknown,Cooling Towers
Helen Street,255166,664926,From Data Source,906700372256,Potential,Potential,Unknown,Cooling Towers
University Avenue,256789,666614,From Data Source,906700320244,Potential,Potential,Unknown,Cooling Towers
Newlands Road,258044,660653,From Data Source,906700396573,Potential,Potential,Unknown,Cooling Towers
Sauchiehall Street,258121,665964,From Data Source,906700103437,Potential,Potential,Unknown,Cooling Towers
Pitt Street,258242,665677,From Data Source,906700112623,Potential,Potential,Unknown,Cooling Towers
Cadogan Street,258529,665294,From Data Source,906700020867,Potential,Potential,Unknown,Cooling Towers
St Vincent Street,258634,665483,From Data Source,906700402431,Potential,Potential,Unknown,Cooling Towers
St Enoch Square,258936,665004,From Data Source,906700350840,Potential,Potential,Unknown,Cooling Towers
Ingram Street,259221,665292,From Data Source,906700054105,Potential,Potential,Unknown,Cooling Towers
Jessie Street,259751,662149,From Data Source,906700301510,Potential,Potential,Unknown,Cooling Towers
Moffat Street,259751,664039,From Data Source,906700396822,Potential,Potential,Unknown,Cooling Towers
Keppochhill Drive,259815,667187,From Data Source,906700412441,Potential,Potential,Unknown,Cooling Towers
Rottenrow East,259866,665427,From Data Source,906700099071,Potential,Potential,Unknown,Cooling Towers
Inner Sound Phase 1A (MeyGen),335503,984335,From Data Source,,Under Construction,Actual,Large (1MW+),Tidal Stream
Duke Street,260358,665240,From Data Source,906700392967,Potential,Potential,Unknown,Cooling Towers
Holywell Street,261874,664431,From Data Source,906700394045,Potential,Potential,Unknown,Cooling Towers
Gallowgate,262402,664487,From Data Source,906700303728,Potential,Potential,Unknown,Cooling Towers
Clydeford Drive,263226,663304,From Data Source,906700393361,Potential,Potential,Unknown,Cooling Towers
Old Shettleston Road,263503,664402,From Data Source,906700201058,Potential,Potential,Unknown,Cooling Towers
Easter Queenslie Road,266193,665627,From Data Source,906700154384,Potential,Potential,Unknown,Cooling Towers
Seaton,394767,808412,From UPRN,9051089241,Operational - extension ongoing,Actual,Large (1MW+),CHP 2
Cables Wynd,326858,676307,From UPRN,906038476,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Douglas & Angus Estates Biomass II,284774,631405,From UPRN,484107956,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Douglas Community Ecoheat,283768,630892,From UPRN,484107470,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Lyon Crescent Student Housing,279140,696972,From UPRN,122024038,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Kinloch Care Centre,355908,734428,From UPRN,117120653,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Bluebell Croft,181392,762539,From UPRN,130107110,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Clydebank Housing Association,249560.03,671351.45,From UPRN,129055384,Operational - completed,Actual,Small to medium (>45kW and <1MW),CHP 2
Hebridean Housing Partnership,142409,933317,Postcode Centroid,139022926,Operational - completed,Actual,Micro (<=45kW),Ground Source Heat Pump
Roxburghe Estate,370518,629521,From UPRN,116062385,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Gilbert Properties,351910,635745,From UPRN,116084788,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Dunedin Canmore Housing Association I,327903,668848,From UPRN,906474687,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Aberdeen City centre Seaton extension,394852,806768,From UPRN,9051084024,Operational - extension ongoing,Actual,Large (1MW+),CHP 2
European Marine Energy Centre (EMEC),323401,983560,From Data Source,,Operational,Actual,Large (1MW+),Wave Power
Dallfield,340029,730810,From UPRN,9059074078,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Whorterbank,338138,731416,From UPRN,9059045616,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Lochee,337681,731471,Postcode Centroid,9059072827,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
"Holyrood Campus, Edinburgh University IV",326324.32,673420.9,From UPRN,906364369,Operational - extension potential,Actual,Unknown,CHP 2
Dunedin Canmore Housing Association II,322776,672015,From UPRN,906296015,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Calderwood,308320.8,668927.8,From UPRN,10015304432,Dormant,Actual,Large (1MW+),Heat Only Boiler
Cardenden Heat and Power,320682.3,695390.58,From UPRN,320311620,In development - technical feasibility,Potential,Large (1MW+),CHP 2
"George Square, Edinburgh University III",325770,673065,From UPRN,906361474,Operational - extension potential,Actual,Large (1MW+),Trigeneration
Strathclyde University,259737,665695,Postcode Centroid,906700101382,,Potential,Large (1MW+),CHP 2
Wyndford Estate,256628,668281,Postcode Centroid,906700394354,Operational - extension potential,Actual,Large (1MW+),CHP 2
Lewis Oyster Wave Array,140262,958398,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wave Power
Glasgow Caledonian University,259296,666080,Postcode Centroid,906700091007,Operational - extension potential,Actual,Small to medium (>45kW and <1MW),CHP 2
"Gilmorehill Campus, Glasgow University",256916,666655,Postcode Centroid,906700423336,In development - technical feasibility,Potential,Large (1MW+),CHP 2
Penicuik Estate Biomass Heating,321730,659205,From UPRN,120036572,Dormant,Actual,Micro (<=45kW),Heat Only Boiler
Forss Business and Technology Park,302340,969817,From UPRN,130135043,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Anaerobic Digestion
Novar Estate,261132,868070,Postcode Centroid,130069263,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Ullapool Community Buildings Biomass District Heating Scheme,212846,894211,From UPRN,130009731,Dormant,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Ranch Chalet Park,271845,874416,From UPRN,130150811,In development - proposal stage,Potential,Micro (<=45kW),Heat Only Boiler
Falconer Waters,290016.03,813753.68,From UPRN,130140193,In development - proposal stage,Potential,Micro (<=45kW),Heat Only Boiler
Hywind Scotland Pilot Park (Hywind 2) Demonstrator,433500,846500,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Raigmore Accommodation,268618,844740,From UPRN,130036792,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Acharn Biomass Plant (proposed),256225,731305,From UPRN,122050580,In development - proposal stage,Potential,Large (1MW+),CHP 2
Ormiston,341451,669196,From UPRN,138034926,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Aith,434815,1155744,From UPRN,30100006703,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Stromness North,325918,1009916,Postcode Centroid,134011099,In development - proposal stage,Potential,Micro (<=45kW),Ground Source Heat Pump
West Whitlawburn Housing Co-operative,263292,659356,Postcode Centroid,484174543,In development - Under construction,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Douglas & Angus Estates I,284774,631405,From UPRN,484107956,In development - proposal stage,Potential,Micro (<=45kW),Heat Only Boiler
Iskcon Scotland Ltd,280967,639802,From UPRN,484090630,In development - proposal stage,Potential,Micro (<=45kW),Heat Only Boiler
Eildon Housing Association (Selkirk),347226,629291,From UPRN,116003217,In development - proposal stage,Potential,Unknown,Heat Only Boiler
Beatrice Demonstrator,347955,929690,From Data Source,,Operational,Actual,Large (1MW+),Wind
Dalmuir multi storey DH,249983,671185,From UPRN,129048702,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Colstoun Capital (Haddington),351557,670977,From UPRN,138003486,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Torwoodlee and Buckholm Estates,347307,638111,Postcode Centroid,116061754,In development - proposal stage,Potential,Micro (<=45kW),Heat Only Boiler
"Business park, Shetland",446891,1144532,From UPRN,30100007222,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Mintlaw Academy,399309,848265,Postcode Centroid,151100479,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Maiden Craig,389751,806901,From UPRN,9051010149,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Drygate,260249,665254,Postcode Centroid,484173933,In development - Prospect,Potential,Large (1MW+),Trigeneration
Cottonhillock Affordable Housing,385556,836978,Postcode Centroid,151701705,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
"Aberdeenshire council, new care home DH",386123.8,786437,From UPRN,10024865958,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Craigton Cottages,371337,800122,Postcode Centroid,151106449,In development - proposal stage,Potential,Micro (<=45kW),Heat Only Boiler
Robin Rigg East,291005,542348,From Data Source,,Operational,Actual,Large (1MW+),Wind
Colstoun capital (Brounhill),351557,670977,From UPRN,138003486,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Dundee and Angus college (Arbroath),363535,741038,From UPRN,117082310,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Panmure Biomass,371453,757475,From UPRN,117083066,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Dyemill Forestry Plantation Northern Energy Developments - project 2,203055,629704,From UPRN,126058921,In development - proposal stage,Potential,Large (1MW+),CHP 2
Wester Fintray,380815,816250,From UPRN,151106684,In development - Under construction,Actual,Micro (<=45kW),Heat Only Boiler
Dalintart Biomass DHN,186249,729383,From UPRN,125011530,Dormant,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Callendar Park,289618,679486,From UPRN,136027209,Operational - extension potential,Actual,Small to medium (>45kW and <1MW),CHP 2
WHHA Benderloch Community Biomass DHN,150418,755610,From UPRN,125025375,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Glenshellach Biomass DHN extension,185329.54,728265.48,From UPRN,125079826,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Robin Rigg West,288785,540522,From Data Source,,Operational,Actual,Large (1MW+),Wind
Barony College,302203,587074,From UPRN,137061925,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Railway Marshalling Yard (Proposed AD),303224,859081,From UPRN,133064276,In development - proposal stage,Potential,Large (1MW+),Energy from Waste
Dunfermline Landfill Gas plants,308451,690214,From UPRN,320287879,Operational - completed,Actual,Large (1MW+),Landfill Gas
Perth Food and Drink Park,309992,726438,From UPRN,124086959,In development - proposal stage,Potential,Large (1MW+),Water Source Heat Pump
European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),395693,806148,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Hamilton South Lanarkshire Council,271677,655988,Postcode Centroid,484066359,In development - proposal stage,Potential,Large (1MW+),CHP 2
Queens Quay,249737,669578,From UPRN,129051596,In development - proposal stage,Potential,Large (1MW+),CHP 2
Dalintart,186249,729383,From UPRN,125011530,In development - technical feasibility,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
University of Aberdeen,393781,808233,From UPRN,9051073532,Operational - extension potential,Actual,Large (1MW+),CHP 2
Lumphinnans minewater heating,317232,692850,From UPRN,320143642,Operational - completed,Actual,Micro (<=45kW),Water Source Heat Pump
Kirkcaldy Waste Water Treatment Works,328723,692185,From UPRN,320181707,In development - financing,Potential,Unknown,Water Source Heat Pump
Beatrice,344074,911416,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Whitfield Housing,342805,733832,Postcode Centroid,9059042448,In development - proposal stage,Potential,Unknown,Trigeneration
Cultybraggan,280121,722999,From UPRN,124066546,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Royal Highland Showground/Edin Airport,314453,672865,From UPRN,906312043,In development - Prospect,Potential,Unknown,Anaerobic Digestion
Neart na Gaoithe,384615,708641,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Aberdeen Steps Towards a Local Energy Economy (ASTLEE),394317,806366,From UPRN,9051081793,In development - Prospect,Potential,Unknown,Photovoltaic
Northwoods Local Heat and Power,399324,849017,From UPRN,151500307,In development - Prospect,Potential,Unknown,CHP 2
Strathallan School,309230.2,718360.6,From UPRN,124062505,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Kinlochbervie School and Community Carbon CLEVER Initiative,222980,956530,From UPRN,130113725,In development - Prospect,Potential,Unknown,Heat Only Boiler
Brae,451117,1191244,Postcode Centroid,301000023297,Operational - extension potential,Actual,Micro (<=45kW),Heat Only Boiler
Easter Bush Midlothian: public bodies cogeneration,325052,664298,From UPRN,120041412,In development - Prospect,Potential,Unknown,Trigeneration
Inch Cape,387786,734231,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Ardconnon District Heating,336980.6,796065.2,From UPRN,151049711,Operational - completed,Actual,Unknown,Heat Only Boiler
Samuelston A,348604,671014,From UPRN,138023530,Operational - completed,Actual,Unknown,Heat Only Boiler
Samuelston B,348604,671014,From UPRN,138023530,In development - Under construction,Actual,Unknown,Heat Only Boiler
Carfrae Farm,357571,669270,Postcode Centroid,138034317,In development - proposal stage,Potential,Unknown,Heat Only Boiler
Whiteinch & Scotstoun Housing Association,253376,667276,Postcode Centroid,906700399380,Operational - extension potential,Actual,Micro (<=45kW),Heat Only Boiler
House of Cockburn A,314725,665133,From UPRN,906370733,In development - proposal stage,Potential,Unknown,Heat Only Boiler
House of Cockburn B,314725,665133,From UPRN,906370733,In development - proposal stage,Potential,Unknown,Heat Only Boiler
Haswell Sykes,320796,639302,From UPRN,116073651,In development - proposal stage,Potential,Unknown,Heat Only Boiler
Foulis Castle,258932,864108,From UPRN,130068978,In development - proposal stage,Potential,Unknown,Heat Only Boiler
Piperdam,329679,735237,From UPRN,117113041,In development - Under construction,Actual,Unknown,Heat Only Boiler
Levenmouth demonstration turbine (Fife Energy Park),340600,696860,From Data Source,,Operational,Actual,Large (1MW+),Wind
Balgray Gardens,314270,586453,From UPRN,137066008,Operational - completed,Actual,Unknown,Heat Only Boiler
Stevenson Steading,354317,674544,Postcode Centroid,138008003,Operational - completed,Actual,Unknown,Heat Only Boiler
Troon Textiles,230759,631532,From UPRN,141003899,In development - proposal stage,Potential,Unknown,Heat Only Boiler
Allan House,281426,877075,From UPRN,130070908,In development - proposal stage,Potential,Unknown,Heat Only Boiler
Scalloway,446412,1142932,From UPRN,30100006385,In development - proposal stage,Potential,Unknown,Heat Only Boiler
Garmouth Street communal heating,255009,665760,Postcode Centroid,906700353468,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Glendoick Garden Centre,321367,723017,From UPRN,124066213,In development - proposal stage,Potential,Unknown,Heat Only Boiler
Balgair Castle,260360,688581,From UPRN,122044225,In development - Under construction,Actual,Unknown,Heat Only Boiler
Strathallan School,309230.2,718360.6,From UPRN,124062505,Operational - completed,Actual,Unknown,Heat Only Boiler
Caol,210614,776330,From UPRN,130107815,In development - proposal stage,Potential,Small to medium (>45kW and <1MW),Water Source Heat Pump
Seagreen Alpha,404600,749300,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Balmoral Hotel,325816,673961,From UPRN,906203376,In development - proposal stage,Potential,Large (1MW+),Trigeneration
Charles Street,260766,666546,Postcode Centroid,906700353197,In development - Prospect,Potential,Large (1MW+),Trigeneration
Drygate,260211,665331,Postcode Centroid,906700158421,In development - Prospect,Potential,Large (1MW+),Trigeneration
Swan Court,336898,699242,From UPRN,320061631,In development - technical feasibility,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Shettleston minewater heat project,264450,664021,Postcode Centroid,906700343921,Operational - completed,Actual,Micro (<=45kW),Water Source Heat Pump
Borrowstone,384902,807726,Postcode Centroid,9051123873,In development - procurement,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
Kindochit Court,314991.1,791342.1,From UPRN,151049268,In development - procurement,Potential,Small to medium (>45kW and <1MW),Ground Source Heat Pump
Monaltrie Court,336980.6,796065.2,From UPRN,151049711,In development - procurement,Potential,Small to medium (>45kW and <1MW),Ground Source Heat Pump
Drum Farm,330126,668773,Postcode Centroid,906079383,In development - procurement,Potential,Small to medium (>45kW and <1MW),Heat Only Boiler
MacColl Offshore Windfarm (Moray Firth),353328,897834,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Caledonia Rd,259549,663524,Postcode Centroid,906700235000,Operational - completed,Actual,Unknown,CHP 2
Whiteinch & Scotstoun Neighbourhood District Heating Project,253919,666948,Postcode Centroid,906700089239,Operational - completed,Actual,Unknown,Heat Only Boiler
Hazlehead Energy Centre,389320,805987,Postcode Centroid,9051138818,Operational - completed,Actual,Small to medium (>45kW and <1MW),CHP 2
"Home Farm, Portree",148005.03,844344.52,From UPRN,130126872,Operational - extension potential,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Aviemore North,290201,813809,Postcode Centroid,130148370,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Wick,336772,950031,From UPRN,130114097,Operational - extension ongoing,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Hill of Banchory Biomass Energy Centre,370960.19,796976.5,From UPRN,151704147,Operational - extension potential,Actual,Large (1MW+),Heat Only Boiler
Hunters Quay Holiday Village,217494,680038,Postcode Centroid,125068472,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Kingairloch Estate LLP,184407,752914,Postcode Centroid,130075082,Operational - completed,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Telford Offshore Windfarm (Moray Firth),353646,924989,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Glenborrodale District Heating Scheme,161471,760464,From UPRN,130074914,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Dingwall Primary School,254654,859870,From UPRN,130003571,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Stockethill,391068,807242,From UPRN,9051033782,Operational - extension ongoing,Actual,Small to medium (>45kW and <1MW),CHP 2
Novar Estate,261132,868070,Postcode Centroid,130069263,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Hanover Housing Association,208949,776880,From UPRN,130027237,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Glenfintaig Estate,221972,781854,From UPRN,130164532,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Great Glen Cattle Ranch,217275,780068,From UPRN,130139623,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Dorback Estate,308246,816447,From UPRN,130115297,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Holiday Cottages (Glencoe),281605.9,934612.6,From UPRN,10025016545,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Caledonia Housing Association,267009,842506,From UPRN,130128290,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Stevenson Offshore Windfarm (Moray Firth),331721,907867,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Croachy,265026,827623,From UPRN,130094133,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Scottish Housing Expo demo flats_DH,269730,841812,From UPRN,130079004,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
Loch Ness Shores,249349,820940,Postcode Centroid,130149034,Operational - completed,Actual,Micro (<=45kW),Water Source Heat Pump
Grampian Housing Association Victoria Street,388653,813015,From UPRN,9051015777,Operational - completed,Actual,Micro (<=45kW),Heat Only Boiler
